AWHISG00000000003.1	G3DSA:2.70.50.30	Rho GDP-dissociation inhibitor domain superfamily
AWHISG00000000003.1	PF02115	Rho protein GDP-dissociation inhibitor
AWHISG00000000003.1	PTHR10980	Rho protein GDP-dissociation inhibitor
AWHISG00000000003.1	SSF81296	Immunoglobulin E-set
AWHISG00000000004.1	G3DSA:2.20.100.10	Thrombospondin type-1 (TSP1) repeat superfamily
AWHISG00000000004.1	PF00090	Thrombospondin type-1 (TSP1) repeat
AWHISG00000000004.1	PS50092	Thrombospondin type-1 (TSP1) repeat
AWHISG00000000004.1	SM00209	Thrombospondin type-1 (TSP1) repeat
AWHISG00000000004.1	SSF82895	Thrombospondin type-1 (TSP1) repeat superfamily
AWHISG00000000007.1	SSF49785	Galactose-binding-like domain superfamily
AWHISG00000000008.1	PF00003	GPCR family 3, C-terminal
AWHISG00000000008.1	PS50259	GPCR family 3, C-terminal
AWHISG00000000008.1	PTHR10519	GPCR family 3, GABA-B receptor
AWHISG00000000009.1	PF09335	VTT domain
AWHISG00000000010.1	PF08584	Ribonuclease P protein subunit Rpp40
AWHISG00000000010.1	PTHR15396	Ribonuclease P protein subunit Rpp40
AWHISG00000000011.1	G3DSA:2.30.42.10	PDZ superfamily
AWHISG00000000011.1	PF17820	PDZ domain 6
AWHISG00000000011.1	PF18265	Nas2, N-terminal
AWHISG00000000011.1	PTHR12651	26S Proteasome non-ATPase regulatory subunit 9
AWHISG00000000011.1	SSF50156	PDZ superfamily
AWHISG00000000015.1	PS51462	NUDIX hydrolase domain
AWHISG00000000015.1	PTHR12318	Acyl-coenzyme A diphosphatase NUDT19
AWHISG00000000015.1	SSF55811	NUDIX hydrolase-like domain superfamily
AWHISG00000000016.1	PF00566	Rab-GAP-TBC domain
AWHISG00000000016.1	PS50086	Rab-GAP-TBC domain
AWHISG00000000016.1	SM00164	Rab-GAP-TBC domain
AWHISG00000000016.1	SSF47923	Rab-GAP-TBC domain superfamily
AWHISG00000000017.1	G3DSA:2.60.120.10	RmlC-like jelly roll fold
AWHISG00000000017.1	PF05995	Cysteine dioxygenase type I
AWHISG00000000017.1	PTHR12918	Cysteine dioxygenase type I
AWHISG00000000017.1	SSF51182	RmlC-like cupin domain superfamily
AWHISG00000000019.1	G3DSA:1.10.3860.10	Sodium:dicarboxylate symporter superfamily
AWHISG00000000019.1	PF00375	Sodium:dicarboxylate symporter
AWHISG00000000019.1	PTHR42865	Sodium:dicarboxylate symporter
AWHISG00000000019.1	SSF118215	Sodium:dicarboxylate symporter superfamily
AWHISG00000000021.1	G3DSA:1.20.58.160	GAT domain superfamily
AWHISG00000000021.1	G3DSA:1.25.40.90	ENTH/VHS
AWHISG00000000021.1	PF00790	VHS domain
AWHISG00000000021.1	PF03127	GAT domain
AWHISG00000000021.1	PS50179	VHS domain
AWHISG00000000021.1	PS50909	GAT domain
AWHISG00000000021.1	SM00288	VHS domain
AWHISG00000000021.1	SSF48464	ENTH/VHS
AWHISG00000000023.1	PF08276	PAN/Apple domain
AWHISG00000000024.1	G3DSA:3.30.50.10	Zinc finger, NHR/GATA-type
AWHISG00000000024.1	PS50114	Zinc finger, GATA-type
AWHISG00000000024.1	SM00401	Zinc finger, GATA-type
AWHISG00000000025.1	PF10961	Selenoprotein SelK/SelG
AWHISG00000000025.1	PTHR16875	Selenoprotein SelK/SelG
AWHISG00000000026.1	G3DSA:3.20.190.10	MutM-like, N-terminal
AWHISG00000000026.1	PF01149	Formamidopyrimidine-DNA glycosylase, catalytic domain
AWHISG00000000026.1	PF06831	DNA glycosylase/AP lyase, H2TH DNA-binding
AWHISG00000000026.1	PS51068	Formamidopyrimidine-DNA glycosylase, catalytic domain
AWHISG00000000026.1	SM00898	Formamidopyrimidine-DNA glycosylase, catalytic domain
AWHISG00000000026.1	SM01232	DNA glycosylase/AP lyase, H2TH DNA-binding
AWHISG00000000026.1	SSF46946	Small ribosomal subunit protein uS13-like, H2TH
AWHISG00000000026.1	SSF81624	MutM-like, N-terminal
AWHISG00000000028.1	PF04142	Nucleotide-sugar transporter
AWHISG00000000028.1	PIRSF005799	Nucleotide-sugar transporter
AWHISG00000000028.1	PTHR10231	Nucleotide-sugar transporter
AWHISG00000000029.1	cd00082	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
AWHISG00000000029.1	G3DSA:3.30.565.10	Histidine kinase/HSP90-like ATPase superfamily
AWHISG00000000029.1	PF00072	Signal transduction response regulator, receiver domain
AWHISG00000000029.1	PF00512	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
AWHISG00000000029.1	PF02518	Histidine kinase/HSP90-like ATPase
AWHISG00000000029.1	PR00344	Signal transduction histidine kinase-related protein, C-terminal
AWHISG00000000029.1	PS50109	Histidine kinase domain
AWHISG00000000029.1	PS50110	Signal transduction response regulator, receiver domain
AWHISG00000000029.1	SM00387	Histidine kinase/HSP90-like ATPase
AWHISG00000000029.1	SM00388	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
AWHISG00000000029.1	SM00448	Signal transduction response regulator, receiver domain
AWHISG00000000029.1	SSF47384	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain superfamily
AWHISG00000000029.1	SSF52172	CheY-like superfamily
AWHISG00000000029.1	SSF55874	Histidine kinase/HSP90-like ATPase superfamily
AWHISG00000000033.1	G3DSA:3.40.50.150	S-adenosyl-L-methionine-dependent methyltransferase superfamily
AWHISG00000000033.1	SSF53335	S-adenosyl-L-methionine-dependent methyltransferase superfamily
AWHISG00000000034.1	G3DSA:1.10.167.10	RGS, subdomain 2
AWHISG00000000034.1	PF00615	RGS domain
AWHISG00000000034.1	PS50132	RGS domain
AWHISG00000000034.1	SM00315	RGS domain
AWHISG00000000034.1	SSF48097	RGS domain superfamily
AWHISG00000000037.1	G3DSA:1.20.1260.10	Ferritin-like
AWHISG00000000037.1	PF00210	Ferritin/DPS protein domain
AWHISG00000000037.1	PS00204	Ferritin, conserved site
AWHISG00000000037.1	PS50905	Ferritin-like diiron domain
AWHISG00000000037.1	PTHR11431	Ferritin
AWHISG00000000037.1	SSF47240	Ferritin-like superfamily
AWHISG00000000038.1	PF05699	HAT, C-terminal dimerisation domain
AWHISG00000000038.1	SSF53098	Ribonuclease H-like superfamily
AWHISG00000000039.1	G3DSA:3.30.40.10	Zinc finger, RING/FYVE/PHD-type
AWHISG00000000039.1	PS01358	Zinc finger, RanBP2-type
AWHISG00000000039.1	PS50089	Zinc finger, RING-type
AWHISG00000000039.1	PS50199	Zinc finger, RanBP2-type
AWHISG00000000039.1	PS51873	TRIAD supradomain
AWHISG00000000039.1	PTHR11685	E3 ubiquitin ligase RBR family
AWHISG00000000039.1	SM00343	Zinc finger, CCHC-type
AWHISG00000000039.1	SM00547	Zinc finger, RanBP2-type
AWHISG00000000040.1	G3DSA:1.10.167.10	RGS, subdomain 2
AWHISG00000000040.1	PF00615	RGS domain
AWHISG00000000040.1	PS50132	RGS domain
AWHISG00000000040.1	SM00315	RGS domain
AWHISG00000000040.1	SSF48097	RGS domain superfamily
AWHISG00000000043.1	G3DSA:3.40.50.10330	Inorganic polyphosphate/ATP-NAD kinase, N-terminal
AWHISG00000000043.1	PF00609	Diacylglycerol kinase, accessory domain
AWHISG00000000043.1	PF00781	Diacylglycerol kinase, catalytic domain
AWHISG00000000043.1	PS50146	Diacylglycerol kinase, catalytic domain
AWHISG00000000043.1	PTHR11255	Diacylglycerol kinase
AWHISG00000000043.1	SM00045	Diacylglycerol kinase, accessory domain
AWHISG00000000043.1	SM00046	Diacylglycerol kinase, catalytic domain
AWHISG00000000043.1	SSF111331	NAD kinase/diacylglycerol kinase-like domain superfamily
AWHISG00000000049.1	G3DSA:1.10.10.2420	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal, subdomain 2
AWHISG00000000049.1	G3DSA:1.10.8.1290	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal, subdomain 1
AWHISG00000000049.1	G3DSA:2.40.240.10	Large ribosomal subunit protein bL25/Gln-tRNA synthetase, N-terminal
AWHISG00000000049.1	G3DSA:3.40.50.620	Rossmann-like alpha/beta/alpha sandwich fold
AWHISG00000000049.1	PF00749	Glutamyl/glutaminyl-tRNA synthetase, class Ib, catalytic domain
AWHISG00000000049.1	PF03950	Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain
AWHISG00000000049.1	PF04557	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2
AWHISG00000000049.1	PF04558	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal
AWHISG00000000049.1	PF20974	tRNA synthetases class I (E and Q), anti-codon binding domain
AWHISG00000000049.1	PR00987	Glutamyl/glutaminyl-tRNA synthetase
AWHISG00000000049.1	PS00178	Aminoacyl-tRNA synthetase, class I, conserved site
AWHISG00000000049.1	SSF50715	Large ribosomal subunit protein bL25/Gln-tRNA synthetase, anti-codon-binding domain superfamily
AWHISG00000000049.1	TIGR00440	Glutamine-tRNA synthetase
AWHISG00000000050.1	G3DSA:2.60.40.1260	Lamin tail domain superfamily
AWHISG00000000050.1	PF00932	Lamin tail domain
AWHISG00000000050.1	PS51841	Lamin tail domain
AWHISG00000000050.1	SSF74853	Lamin tail domain superfamily
AWHISG00000000051.1	cd00593	Ribonuclease III domain
AWHISG00000000051.1	G3DSA:1.10.1520.10	Ribonuclease III, endonuclease domain superfamily
AWHISG00000000051.1	G3DSA:3.30.160.380	Dicer dimerisation domain superfamily
AWHISG00000000051.1	G3DSA:3.40.50.300	P-loop containing nucleoside triphosphate hydrolase
AWHISG00000000051.1	PF00270	DEAD/DEAH box helicase domain
AWHISG00000000051.1	PF00271	Helicase, C-terminal domain-like
AWHISG00000000051.1	PF00636	Ribonuclease III domain
AWHISG00000000051.1	PF03368	Dicer dimerisation domain
AWHISG00000000051.1	PS50142	Ribonuclease III domain
AWHISG00000000051.1	PS51192	Helicase superfamily 1/2, ATP-binding domain
AWHISG00000000051.1	PS51194	Helicase, C-terminal domain-like
AWHISG00000000051.1	PS51327	Dicer dimerisation domain
AWHISG00000000051.1	SM00487	Helicase superfamily 1/2, ATP-binding domain
AWHISG00000000051.1	SM00490	Helicase, C-terminal domain-like
AWHISG00000000051.1	SM00535	Ribonuclease III domain
AWHISG00000000051.1	SSF52540	P-loop containing nucleoside triphosphate hydrolase
AWHISG00000000051.1	SSF69065	Ribonuclease III, endonuclease domain superfamily
AWHISG00000000052.1	G3DSA:3.40.640.10	Pyridoxal phosphate-dependent transferase, major domain
AWHISG00000000052.1	G3DSA:3.90.1150.10	Pyridoxal phosphate-dependent transferase, small domain
AWHISG00000000052.1	PF00266	Aminotransferase class V domain
AWHISG00000000052.1	PIRSF000524	Serine-pyruvate aminotransferase/2-aminoethylphosphonate-pyruvate transaminase
AWHISG00000000052.1	SSF53383	Pyridoxal phosphate-dependent transferase
AWHISG00000000053.1	cd00333	Major intrinsic protein
AWHISG00000000053.1	G3DSA:1.20.1080.10	Aquaporin-like
AWHISG00000000053.1	PF00230	Major intrinsic protein
AWHISG00000000053.1	PR00783	Major intrinsic protein
